id,nLL,kernel,acq,R2,kError,lambda,beta,tau,epsilon,group
111,757.992120555825,RBF,epsilonGreedy,0.0887071055343351,NA,0.144117239473222,NA,7.48255596112256,NA,Control
111,824.81555255796,BMT,epsilonGreedy,0.00836891056378475,0.164625800630641,NA,NA,0.0366122047917611,NA,Control
111,832.855873729931,BMT,UCB,-0.0012975323378468,11.8642530981261,NA,0.00906370615654613,0.0662239139946314,NA,Control
111,760.601250557209,RBF,GM,0.0855702897726427,NA,1.43559491652812,NA,0.161992720989258,NA,Control
111,761.203250854144,RBF,UCB,0.0848465374034738,NA,1.41642446045457,0.0155299123852035,0.160162230683751,NA,Control
111,830.250651509554,BMT,GM,0.00183458531027969,11.4176057877228,NA,NA,0.057402436282884,NA,Control
115,832.035292727,RBF,GM,-3.10992218199857e-4,NA,2.3946192696131,NA,33.7080294010319,NA,Control
115,834.124825727695,BMT,epsilonGreedy,-0.00282312463309697,5.8176000413852504,NA,NA,10.222262811729,NA,Control
115,831.776751710242,BMT,GM,-1.62349247156968e-7,54.5981497901939,NA,NA,54.5981494359548,NA,Control
115,830.034487427839,RBF,epsilonGreedy,0.00209446768420329,NA,0.159485600903176,NA,14.1301388246667,NA,Control
115,807.250492672043,RBF,UCB,0.0294864312223924,NA,0.833295341950245,48.1326252588941,18.1981811727454,NA,Control
115,808.310286349254,BMT,UCB,0.0282122986536607,23.6115137663123,NA,2.04899908333053,0.0111616781228129,NA,Control
117,616.319472887987,RBF,epsilonGreedy,0.259032460717668,NA,0.585456494992607,NA,0.279062696768036,NA,Control
117,521.222022909076,RBF,UCB,0.373362976955802,NA,0.973147774895964,0.0702989920414935,0.0746392376923466,NA,Control
117,628.158987015566,BMT,epsilonGreedy,0.244798453785674,0.174534679737165,NA,NA,0.0805529219807068,NA,Control
117,563.871976974917,BMT,GM,0.322087245935026,4.5328078621494,NA,NA,0.0466696813373589,NA,Control
117,509.542105870859,RBF,GM,0.38740510894666,NA,1.10358406896139,NA,0.0859903660615784,NA,Control
117,562.2064561481,BMT,UCB,0.324089611466148,3.97384305819825,NA,0.118072847886384,0.0333990484962947,NA,Control
234,598.225520894189,RBF,GM,0.28078583972728,NA,1.1667956902338,NA,0.0966543616330761,NA,Control
234,701.480569549683,RBF,epsilonGreedy,0.156647884192256,NA,1.29061172081349,NA,0.309676386235865,NA,Control
234,664.69419333461,BMT,epsilonGreedy,0.200874152973724,0.0912493625739501,NA,NA,0.179654328420588,NA,Control
234,566.963214210518,BMT,GM,0.318370818743348,12.7960654531407,NA,NA,0.00673794699968562,NA,Control
234,540.752562894845,RBF,UCB,0.349882465969674,NA,0.46724265598491,0.411835436142604,0.0170457209532179,NA,Control
234,537.374188446216,BMT,UCB,0.353944102689094,6.33781701813884,NA,0.28482377175013,0.00673797250595015,NA,Control
250,774.530554198336,BMT,GM,0.0688238420342332,3.45040558108462,NA,NA,0.086326139683358,NA,Control
250,764.931735907648,BMT,epsilonGreedy,0.0803639816562086,1.46502040775118,NA,NA,0.0920487286452226,NA,Control
250,771.387939420925,RBF,epsilonGreedy,0.0726020376632296,NA,0.743154516867959,NA,0.376115067541921,NA,Control
250,721.56534293698,RBF,GM,0.132501048389562,NA,1.29448208974819,NA,0.130780178435749,NA,Control
250,761.695909888277,BMT,UCB,0.0842542401156472,2.88453586650023,NA,0.209379928790006,0.0358818846074991,NA,Control
250,730.717722661734,RBF,UCB,0.121497637688533,NA,0.852124616515353,0.21122055947657,0.0791133417484979,NA,Control
256,709.298544239207,BMT,epsilonGreedy,0.14724875643028,3.59816128267434,NA,NA,0.173170453662764,NA,Control
256,648.017401223073,RBF,GM,0.220923757371433,NA,1.28043102025279,NA,0.11190767509706,NA,Control
256,680.177706186012,BMT,GM,0.182259163635175,4.09210679365873,NA,NA,0.0614481246931184,NA,Control
256,606.623524900181,RBF,UCB,0.270689374116605,NA,0.583724696369636,0.372657167581997,0.0312654977453272,NA,Control
256,656.601051513778,BMT,UCB,0.210604099282161,5.15275084146962,NA,0.278845422472646,0.0121190118064603,NA,Control
256,696.385775758768,RBF,epsilonGreedy,0.162773078972676,NA,0.920564692682675,NA,0.262448070356839,NA,Control
353,355.193390235409,BMT,GM,0.572970214459031,10.5499070129367,NA,NA,0.00673794699959116,NA,Control
353,383.336192551632,RBF,GM,0.539135646677087,NA,1.18175141746244,NA,0.0586749459269481,NA,Control
353,355.691258270567,BMT,UCB,0.572371654671248,8.72885790985319,NA,0.101735036506895,0.00673796147087475,NA,Control
353,404.684884858567,RBF,UCB,0.513469269576521,NA,1.05907324185442,0.0412978234267531,0.0539910040952589,NA,Control
353,522.864829386668,BMT,epsilonGreedy,0.371387919657167,6.66508296225352,NA,NA,0.127959829977353,NA,Control
353,435.450370008073,RBF,epsilonGreedy,0.47648159219674,NA,0.509585565865985,NA,0.200724096561179,NA,Control
367,710.938671300276,RBF,UCB,0.145276920449086,NA,0.802853594985977,0.109355891409846,0.0926590909950267,NA,Control
367,673.718998448453,BMT,UCB,0.190024118321448,3.80942446605791,NA,0.0987756377146736,0.038842941004289,NA,Control
367,742.657888400616,RBF,epsilonGreedy,0.107142622772801,NA,0.251024495852496,NA,0.176014994179984,NA,Control
367,700.141573449867,RBF,GM,0.158257686719734,NA,1.03740410619385,NA,0.120343577222693,NA,Control
367,670.118901492254,BMT,GM,0.194352320009305,3.73478291209943,NA,NA,0.0568900625970969,NA,Control
367,746.796983801678,BMT,epsilonGreedy,0.10216641243207,14.8636011778808,NA,NA,0.120363263258987,NA,Control
422,678.743683421323,BMT,epsilonGreedy,0.183983211577791,3.20243437042939,NA,NA,0.207168660950892,NA,Control
422,770.018276287752,RBF,epsilonGreedy,0.074248709504827,NA,0.458610442586117,NA,0.395093160125471,NA,Control
422,599.850743935001,RBF,UCB,0.278831922042849,NA,0.489445525000783,0.37710001767063,0.0246229087267565,NA,Control
422,601.534121772376,BMT,GM,0.276808087994579,10.0987922197308,NA,NA,0.018325951986239,NA,Control
422,571.811567770227,BMT,UCB,0.312541905712458,7.15329264850897,NA,0.280577320409006,0.00673798421951284,NA,Control
422,637.290295511772,RBF,GM,0.233820375882087,NA,1.22768186928114,NA,0.107653062565962,NA,Control
427,671.314280189036,BMT,GM,0.192915180911111,13.0830051391818,NA,NA,0.00858703670567944,NA,Control
427,715.597414408965,RBF,UCB,0.139675965799352,NA,0.696227361382265,0.224745494921273,0.056098597635702,NA,Control
427,747.120406813849,BMT,epsilonGreedy,0.101777578452262,0.310536418408034,NA,NA,0.079892323909889,NA,Control
427,694.651758797175,BMT,UCB,0.164857793698766,10.5622371913232,NA,0.139457996759451,0.00718063521591374,NA,Control
427,753.353074523849,RBF,epsilonGreedy,0.0942843794549907,NA,1.29302692131821,NA,0.0617997153927558,NA,Control
427,672.701983619441,RBF,GM,0.19124682019672,NA,1.16962575302238,NA,0.10788723947819,NA,Control
476,371.496883640904,BMT,epsilonGreedy,0.55336940688797,8.46380249183792,NA,NA,0.0216256838257215,NA,Control
476,335.609195826286,BMT,UCB,0.596515231253903,3.28829136430017,NA,0.0159325539246463,0.0397722675146301,NA,Control
476,341.353468110134,RBF,UCB,0.589609203639384,NA,0.736363156370825,0.0718518108106863,0.0511802282320291,NA,Control
476,406.643773308032,RBF,epsilonGreedy,0.511114204033438,NA,0.529047615571986,NA,0.0657467200553621,NA,Control
